Ward,No income,Bracket A_R 1 to R 400_,Bracket B_R 401 to R 800_,Bracket C_R 801 to R 1 600_,Bracket D_R 1 601 to R 3 200_,Bracket E_R 3 201 to R 6 400_,Bracket F_R 6 401 to R 12 800_,Bracket G_R 12 801 to R 25 600_,Bracket H_R 25 601 to R 51 200_,Bracket I_R 51 201 to R 102 400_,Bracket J_R 102 401 to R 204 800_,Bracket K_R 204 801 or more_
1,28.8028105,20.3782402,7.6979908,12.3886551,11.4354191,9.4903695,5.3467512,2.850184,2.4080918,2.914555,1.73587,1.13884
2,42.4376705,33.4197629,10.7431952,18.7555039,15.7515565,13.4826325,9.050603,6.4184654,3.9141347,3.3638433,1.1567233,1.098295
4,29.4131104,17.2944321,7.4862327,11.9881709,12.0123902,10.2815287,6.1798562,3.1063342,2.5531384,1.200738,1.1664711,1.1474725
3,26.1059766,18.3177085,7.6865069,10.8030434,11.1469037,9.9080118,7.3266283,3.5073849,2.936745,1.1411667,1.659734,1.17947
5,16.6327675,11.9800369,5.1950656,7.4921828,7.500051,6.3090329,4.5900577,3.2431986,2.0356627,1.438465,1.28828,1.17947
6,9.8020891,6.9928184,3.4989275,4.7253997,5.1168007,3.7286434,2.4503238,1.6523125,1.8267303,1.345695,1.1572467,1.1591775
7,14.9196577,6.6879318,3.8055554,6.1757416,6.2179762,8.1003469,12.4367932,9.138113,5.7150368,3.3271286,4.0215386,3.0620787
8,9.1498958,6.2849517,3.9828395,5.9417469,4.7342737,4.6417224,6.1490801,6.6919188,3.168895,2.8918655,4.8891867,2.854255
9,27.763203,6.6945436,5.0021873,11.6490671,8.6738379,13.3926416,15.1816795,12.6840633,8.2100609,5.5850361,2.0716809,2.519514
10,9.0233718,3.7022538,2.6519567,4.7370599,3.8341586,5.8498958,9.0431335,10.1450556,6.9358708,5.2228805,2.6139038,4.5858943
11,30.6537256,13.6889398,7.8245653,13.6696463,12.0798507,15.3446235,10.53379,8.6340075,5.060385,2.0403075,1.637779,1.8305943
12,47.3750659,18.5847094,10.0821339,15.9027339,17.3440006,19.6283746,13.8083616,10.4475177,3.4842621,1.5028714,2.0186925,3.1109767
13,71.6162743,18.6546489,8.8857145,13.1415887,19.8060928,28.6047823,29.1176883,26.3106635,18.947235,7.20853,5.5691837,3.1016183
14,70.3020951,16.7003176,9.1270898,17.2411585,19.0307309,19.9361156,32.5124511,31.3623117,15.7842471,9.052264,4.7795829,9.2667
15,40.6810465,23.6514293,11.0031555,19.1108404,17.4565496,12.5389079,8.0527272,4.6426994,2.9442579,2.339925,1.1477917,1.93205
16,37.1932965,19.0022591,9.1245627,16.9417732,15.2248855,15.5810865,12.6468494,10.4847423,4.34813,1.9482233,2.333654,2.316135
17,14.2728842,6.5580368,3.5545359,5.5851674,5.3004688,7.6520209,11.3413954,10.0861304,6.7342842,3.51182,2.1211883,2.326266
18,40.4564252,14.6127538,8.2038215,18.0133898,11.4122633,15.0728393,14.7430434,11.9735229,7.2061263,5.5744867,2.5836133,2.9497857
19,11.9125798,5.6996911,3.6692452,5.3021372,5.7017657,6.6681354,8.7707497,7.5632639,3.3490622,3.28721,1.150872,3.5114782
20,56.0683465,24.3247519,13.3393503,26.8168504,22.4633389,21.0031341,13.193068,7.3390295,4.5894555,2.27762,1.44536,1.17082
21,48.1610763,22.7916238,11.2609988,26.1151578,22.4983834,25.2131932,18.9854465,10.3182206,5.6694542,2.0560675,1.1649275,1.416578
22,50.5283714,16.7844674,10.5319667,21.2061838,16.7840667,17.2645236,21.7587575,16.7784543,8.175705,5.4758125,1.300525,2.603775
23,15.4495858,4.1057837,3.5105865,5.4591018,5.8963075,6.8567508,10.4089733,11.8551955,10.5585851,7.8801669,4.349276,3.791695
24,8.9124457,5.2726549,3.7147872,4.5103365,4.44351,4.0761108,3.7082029,2.8398639,1.5322623,1.22013,1.1514586,1.3392357
25,34.5211865,18.5670991,8.9438016,19.8204176,17.7616068,19.9136285,16.7521942,10.3121831,6.7556652,1.977528,1.91244,2.1941167
26,31.4497869,16.2538317,9.5654234,16.8733178,13.8285542,13.1002749,8.362387,5.80471,2.858496,1.5504233,1.3072963,1.385778
27,41.7571827,20.255573,8.3749454,19.8324157,14.875513,14.4564736,13.0201404,7.2801215,3.6858309,2.037255,1.3646117,1.61354
28,36.3496212,16.7819439,9.4813967,18.1869261,16.2698297,16.3553355,11.7074543,6.4297648,3.5021517,1.1794338,2.0249363,1.1695
29,36.6711167,16.0813724,7.0473421,14.9844906,16.3323889,15.0787406,11.8321745,6.6183806,2.9615705,1.188816,1.6391933,1.5631317
30,27.6180952,9.7782353,8.2347201,12.8477305,14.0834766,13.1342192,8.7266414,5.2981317,3.7317105,1.362505,1.5070971,1.22013
31,26.8956675,12.9086345,8.4617051,13.1662073,13.8684109,12.507635,10.246571,5.3862697,2.8115459,1.69539,2.2948069,1.1628175
32,20.2784899,9.1291207,4.6227273,6.7652289,8.1296162,8.2169927,8.9286196,9.698843,9.0326926,5.1743088,3.4671541,2.6729082
33,44.96432,19.4342646,11.2486468,22.9148769,15.3880631,17.5590894,14.6318171,8.0345032,3.3843683,1.8597414,1.640552,1.5252
34,43.3626911,21.3490914,10.5279276,18.6587484,19.2122995,19.1725208,12.4039242,7.8591053,3.7426773,1.9482233,1.7851925,1.450775
35,45.2169892,23.1052401,11.2558298,20.6361136,17.771962,13.2262957,10.1100469,5.5422097,2.4686342,1.411376,1.8030029,1.196795
36,49.0492007,21.3501707,14.0006692,22.0827185,19.2570926,18.76509,14.1071191,10.50708,2.9936242,1.8055225,1.434014,1.196795
37,16.1729496,8.884782,4.6898272,9.7066751,8.2986684,9.4985843,8.3718514,4.9221868,2.1921226,1.13385,1.2304729,1.14395
38,26.8275891,10.6923284,6.8194034,13.9199468,10.1185523,11.9108634,12.375909,8.5561626,3.9297867,2.4715067,2.2636591,4.35286
130,30.1076785,17.3625121,7.9037483,14.9127537,13.2129787,11.9805958,7.7035622,5.7947547,3.1566142,2.109318,1.1797512,1.92772
129,19.9386404,14.2175873,6.4010986,10.2253202,10.0494805,10.973424,11.2567657,7.3133828,2.84677,1.56382,2.300242,1.41124
128,17.0506332,11.0055733,5.5110627,8.2687706,7.8616668,7.0149685,4.7789108,2.8976709,2.785504,1.19659,1.3073385,1.39924
127,7.9961725,4.2322779,2.8019164,3.7371999,4.3399914,3.5661177,3.4599927,4.076485,2.5981114,1.8435314,1.2818911,2.6784725
126,14.6125016,3.1286781,3.1120143,4.6313257,5.9131615,7.136874,9.744009,12.4740347,10.8240723,7.7963277,3.8327097,2.9352034
125,20.3806634,3.9415294,3.3717878,6.5532896,5.885722,7.5299055,10.4905723,11.5750361,8.2402384,4.6536792,2.7975932,3.0681695
124,13.706431,5.1089958,4.6849588,7.8352256,8.8963819,8.2352823,8.5106346,7.3463601,3.8568253,1.8374245,1.9325154,2.0373287
123,27.2041882,9.2199589,7.7614654,11.6081025,20.0892409,17.1519591,12.1268583,6.2537923,4.3688568,3.06437,1.74216,1.9343067
122,15.9977998,15.5546267,5.1874836,6.9421799,7.3114508,7.0215313,7.0013632,6.3210279,3.6044053,3.3372408,2.3930736,2.82073
121,20.9931216,11.749164,5.7826509,7.6385061,7.9981447,9.6099727,11.5840403,11.2192532,5.8612939,3.3353092,3.1937039,2.8672546
120,18.8213053,7.8815049,4.5224845,6.8284486,7.7828103,11.402546,13.3111161,12.2264349,9.7554858,7.972228,4.030359,3.118405
